"ID","Deal"
1,"Bad"
2,"Bad"
3,"Neutral"
4,"Neutral"
5,"Neutral"
6,"Bad"
7,"Neutral"
8,"Good"
9,"Neutral"
10,"Bad"
11,"Neutral"
12,"Bad"
13,"Neutral"
14,"Neutral"
15,"Good"
16,"Bad"
17,"Bad"
18,"Neutral"
19,"Bad"
20,"Good"
21,"Bad"
22,"Good"
23,"Neutral"
24,"Neutral"
25,"Neutral"
26,"Neutral"
27,"Good"
28,"Good"
29,"Neutral"
30,"Good"
31,"Good"
32,"Neutral"
33,"Bad"
34,"Neutral"
35,"Neutral"
36,"Bad"
37,"Neutral"
38,"Neutral"
39,"Good"
40,"Bad"
41,"Good"
42,"Bad"
43,"Neutral"
44,"Good"
45,"Bad"
46,"Neutral"
47,"Neutral"
48,"Neutral"
49,"Good"
50,"Neutral"
51,"Bad"
52,"Good"
53,"Good"
54,"Bad"
55,"Neutral"
56,"Neutral"
57,"Good"
58,"Good"
59,"Neutral"
60,"Neutral"
61,"Neutral"
62,"Bad"
63,"Neutral"
64,"Neutral"
65,"Neutral"
66,"Neutral"
67,"Neutral"
68,"Neutral"
69,"Neutral"
70,"Neutral"
71,"Neutral"
72,"Neutral"
73,"Neutral"
74,"Neutral"
75,"Neutral"
76,"Bad"
77,"Bad"
78,"Good"
79,"Neutral"
80,"Neutral"
81,"Bad"
82,"Neutral"
83,"Neutral"
84,"Neutral"
85,"Bad"
86,"Neutral"
87,"Bad"
88,"Neutral"
89,"Bad"
90,"Neutral"
91,"Bad"
92,"Bad"
93,"Neutral"
94,"Good"
95,"Good"
96,"Good"
97,"Neutral"
98,"Neutral"
99,"Neutral"
100,"Bad"
101,"Neutral"
102,"Neutral"
103,"Neutral"
104,"Neutral"
105,"Neutral"
106,"Good"
107,"Bad"
108,"Bad"
109,"Neutral"
110,"Bad"
111,"Good"
112,"Neutral"
113,"Neutral"
114,"Bad"
115,"Neutral"
116,"Bad"
117,"Neutral"
118,"Neutral"
119,"Bad"
120,"Bad"
121,"Good"
122,"Neutral"
123,"Neutral"
124,"Neutral"
125,"Neutral"
126,"Neutral"
127,"Neutral"
128,"Neutral"
129,"Bad"
130,"Neutral"
131,"Neutral"
132,"Bad"
133,"Neutral"
134,"Neutral"
135,"Neutral"
136,"Neutral"
137,"Bad"
138,"Bad"
